127.0.0.1, 2020-08-28 20:35:45, GET, /, HTTP/1.1, 303, 0.023001
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/default/index, HTTP/1.1, 200, 12.678427
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001996
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.015001
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004005
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.044999
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.039996
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-08-28 20:35:58, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2020-08-28 20:35:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001001
127.0.0.1, 2020-08-28 20:36:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.126991
127.0.0.1, 2020-08-28 20:36:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001997
127.0.0.1, 2020-08-28 20:36:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.069995
127.0.0.1, 2020-08-28 20:36:23, GET, /admin/default/site, HTTP/1.1, 303, 1.806887
127.0.0.1, 2020-08-28 20:36:23, GET, /admin/default/index, HTTP/1.1, 200, 0.308977
127.0.0.1, 2020-08-28 20:36:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000937
127.0.0.1, 2020-08-28 20:36:30, POST, /admin/default/index, HTTP/1.1, 303, 0.231999
127.0.0.1, 2020-08-28 20:36:30, GET, /admin/default/site, HTTP/1.1, 200, 0.349122
127.0.0.1, 2020-08-28 20:36:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001004
127.0.0.1, 2020-08-28 20:36:32, POST, /admin/default/check_version, HTTP/1.1, 200, 1.951538
127.0.0.1, 2020-08-28 20:37:03, POST, /admin/default/site, HTTP/1.1, 303, 16.781427
127.0.0.1, 2020-08-28 20:37:07, GET, /admin/default/design/Fresh, HTTP/1.1, 200, 4.614937
127.0.0.1, 2020-08-28 20:37:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-08-28 20:58:15, GET, /admin/default/design/Fresh, HTTP/1.1, 200, 4.145050
127.0.0.1, 2020-08-28 20:58:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2020-08-28 21:11:10, GET, /, HTTP/1.1, 303, 0.022003
127.0.0.1, 2020-08-28 21:11:11, GET, /welcome/default/index, HTTP/1.1, 200, 1.022936
127.0.0.1, 2020-08-28 21:11:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.004004
127.0.0.1, 2020-08-28 21:11:31, GET, /admin/default/site, HTTP/1.1, 200, 0.686956
127.0.0.1, 2020-08-28 21:11:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001999
127.0.0.1, 2020-08-28 21:11:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.072994
127.0.0.1, 2020-08-28 21:11:37, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.197987
127.0.0.1, 2020-08-28 21:11:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.106991
127.0.0.1, 2020-08-28 21:11:42, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.116999
127.0.0.1, 2020-08-28 21:11:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001998
127.0.0.1, 2020-08-28 21:11:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.102993
127.0.0.1, 2020-08-28 21:11:47, GET, /admin/default/index, HTTP/1.1, 200, 0.121991
127.0.0.1, 2020-08-28 21:11:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-08-28 21:11:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.108992
127.0.0.1, 2020-08-28 21:11:58, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.107990
127.0.0.1, 2020-08-28 21:12:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.105993
127.0.0.1, 2020-08-28 21:12:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.115989
127.0.0.1, 2020-08-28 21:12:23, GET, /, HTTP/1.1, 303, 0.002999
127.0.0.1, 2020-08-28 21:12:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.116992
127.0.0.1, 2020-08-28 21:12:24, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2020-08-28 21:12:27, GET, /admin/default/site, HTTP/1.1, 200, 0.434968
127.0.0.1, 2020-08-28 21:12:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2020-08-29 10:47:48, GET, /admin/default/site, HTTP/1.1, 303, 0.532964
127.0.0.1, 2020-08-29 10:47:48, GET, /admin/default/index, HTTP/1.1, 200, 0.502965
127.0.0.1, 2020-08-31 10:27:43, GET, /, HTTP/1.1, 303, 0.013002
127.0.0.1, 2020-08-31 10:27:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.357623
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.014998
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.024997
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.026998
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.052997
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.071999
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.057994
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.043998
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.032999
127.0.0.1, 2020-08-31 10:27:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.004999
127.0.0.1, 2020-08-31 11:08:20, GET, /welcome/default/index, HTTP/1.1, 200, 3.653689
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.030996
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.009990
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.008997
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007999
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.007999
127.0.0.1, 2020-08-31 11:08:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001999
127.0.0.1, 2020-08-31 11:09:15, GET, /admin/default/index, HTTP/1.1, 200, 0.507967
127.0.0.1, 2020-08-31 11:09:15, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.036996
127.0.0.1, 2020-08-31 11:09:15, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.043999
127.0.0.1, 2020-08-31 11:09:15, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.055996
127.0.0.1, 2020-08-31 11:09:15, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.068995
127.0.0.1, 2020-08-31 11:09:15, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.075994
127.0.0.1, 2020-08-31 11:09:15, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.101994
